month_date,year,month,month_name,usd_php_rate,num_trading_days,source
2025-04-01,2025,4,Apr,56.8529,18,bsp_historical_file
2025-05-01,2025,5,May,55.6246,20,bsp_historical_file
2025-06-01,2025,6,Jun,56.3586,19,bsp_historical_file
2025-07-01,2025,7,Jul,56.7523,23,bsp_historical_file
2025-08-01,2025,8,Aug,57.2525,19,bsp_historical_file
2025-09-01,2025,9,Sep,57.2501,22,bsp_historical_file
2025-10-01,2025,10,Oct,58.2984,22,bsp_historical_file
2025-11-01,2025,11,Nov,58.9136,20,bsp_historical_file
2025-12-01,2025,12,Dec,58.8488,18,bsp_historical_file
2026-01-01,2026,1,Jan,59.1622,21,bsp_historical_file
2026-02-01,2026,2,Feb,58.2803,19,bsp_historical_file
2026-03-01,2026,3,Mar,59.4069,21,bsp_historical_file
2026-04-01,2026,4,Apr,60.0818,14,bsp_historical_file
2026-05-01,2026,5,May,60.7555,1,bsp_live_api
